5kN1/n7/8/n1KP2N1/8/8/4n3/3B4 b - - 0 1, True, 2n5/1K2k3/5N2/3P4/3N4/8/8/3n4, 10, False, 200, None
7K/1B5P/7N/6n1/8/7b/2N5/kr6 b - - 0 1, True, 1r6/6KB/7N/8/8/7b/3kN3/8, 10, False, 200, None
8/8/1BB3B1/2B5/4qk2/7q/6n1/K7 w - - 1 1, True, 8/8/1B4B1/2B5/4qk2/8/1K4n1/8, 6, False, 200, None
2B5/kb6/8/8/b6P/4n3/2Kb4/6N1 w - - 1 1, True, 8/kB6/8/8/b6P/8/3K2n1/6N1, 3, False, 200, None
8/qk4r1/8/8/8/8/K1B1R3/2b1NN2 w - - 1 1, True, 8/k7/7b/8/8/7q/KR6/5Nr1, 18, False, 200, None
8/8/5qN1/1P2b3/3b4/2K5/1Qb5/5k2 w - - 1 1, True, 8/8/6q1/1P2b3/3b4/8/1QK5/5k2, 2, False, 200, None
4R1bq/4K3/1N6/8/6k1/5n2/4Q3/2N5 b - - 0 1, True, 7q/8/8/3Rn3/6k1/2K1Q3/8/5N2, 33, False, 200, None
1N6/8/b7/1n1k4/6P1/8/2K1n3/2NN4 w - - 1 1, True, 1N6/5n2/3k4/8/3N2b1/4K3/5N2/8, 10, False, 200, None
8/2bnkn2/2N5/2r5/8/P7/2Q2K2/8 b - - 0 1, True, 5n2/2b2Q2/2k5/2r5/8/P7/5K2/8, 8, False, 200, None
8/8/8/5n2/8/R2k3N/1K3b1r/4N1b1 b - - 1 1, True, 8/8/3n4/R1bk4/8/5N2/K7/7r, 15, False, 200, None
3R4/8/1b6/3R4/2rBN1n1/8/8/3K1k2 w - - 1 1, True, 3b4/8/8/3R4/2NB2n1/8/6k1/3K4, 4, False, 200, None
QK6/4k3/1n6/3B3b/6b1/8/R7/3Q4 w - - 1 1, True, 1K3Q2/6Q1/1n4k1/7b/6b1/5B2/R7/8, 13, True, 200, None
6k1/7b/1n5B/2bR4/7K/8/3B4/3n4 b - - 0 1, True, 8/8/6k1/2bn1b2/5n1B/5K2/8/8, 25, False, 200, None
3b2qb/8/8/5b2/3P4/B7/1k6/3KN3 b - - 0 1, True, 3b4/8/8/5b2/3b2q1/k7/5K2/4N3, 5, False, 200, None
1b6/7b/B3B3/1k5b/6B1/4K3/8/2N5 b - - 0 1, True, 1b6/7b/k3B3/7B/8/4K3/8/2N5, 2, False, 200, None
1b6/5P2/p1K4n/6k1/8/8/4B1N1/3r4 b - - 0 1, True, 1b6/5n2/B7/3K2k1/8/8/6N1/2r5, 4, False, 200, None
1k6/3R4/6n1/n1p3K1/4B3/5q2/8/4Q3 b - - 0 1, True, 1k6/3R4/6nK/n1p1q3/4B3/8/8/4Q3, 20, True, 200, None
1b2n3/b7/7N/2B2R2/1b6/8/4K3/1k6 w - - 1 1, True, 4n3/4b3/8/2bk4/5KN1/8/8/B3R3, 54, True, 200, None
1N6/7p/6N1/6K1/1k4p1/P4R2/r7/8 b - - 1 1, True, 8/8/2Nr3p/1k1K4/8/6p1/8/R7, 39, False, 200, None
5b2/5n1K/5NB1/5p2/2k5/8/2N5/7q w - - 0 1, True, 8/8/3nKNq1/5p2/2k5/8/2N5/8, 8, False, 200, None
8/1K6/2n2p2/8/b3B3/8/2BB1Q2/3k4 b - - 0 1, True, 8/1K6/2n2p2/8/8/5B2/2bB1Q2/3k4, 2, True, 200, None
8/p4r2/n7/5N2/5k2/4b2K/3N1B2/8 b - - 0 1, True, 8/p7/n7/5r2/5k2/8/6K1/1N2b3, 5, False, 200, None
8/4n3/8/6B1/4B1N1/3K1b1k/6n1/1N6 w - - 1 1, True, 8/8/8/6B1/4N2k/2K1nB2/5N2/8, 31, True, 200, None
2Q5/b2K1b1r/7n/8/8/7P/6k1/4N3 b - - 0 1, True, 8/4r3/2K4n/5b2/3Q4/7P/4k3/8, 16, False, 200, None
1r6/1B6/n5n1/4kB2/8/8/4q3/1K3B2 b - - 0 1, True, 8/1r6/n5n1/4kB2/8/8/8/2K2q2, 3, False, 200, None
7b/3bp3/3B4/7N/4P3/6N1/6k1/1K6 w - - 1 1, True, 8/8/3Bp1b1/4P3/3N4/4k3/K7/8, 33, False, 200, None
1bK5/1N6/8/b3P3/2B1k3/8/3n4/5r2 w - - 1 1, True, 2K5/1N6/8/b3b3/4k3/8/3n4/5B2, 2, False, 200, None
3R2R1/8/3B3n/1B2K3/8/2b5/1b1k4/8 w - - 1 1, True, 6R1/8/8/8/B3K3/2b1B3/1b6/1k6, 9, False, 200, None
6R1/4B3/1n6/8/8/3nK3/1Rb1R3/7k w - - 1 1, True, 6R1/4B3/8/8/8/4K2R/2b1R3/7k, 5, True, 200, None
K1n5/4rn2/R2k4/8/8/8/4NrN1/8 b - - 0 1, True, 1r6/3k4/2Nn4/2K5/5N2/8/r7/8, 14, False, 200, None
8/7n/8/7q/3B4/1n1n4/6k1/1KQ1N3 b - - 0 1, True, 8/7n/8/7q/3B4/1Q6/8/1K2n2k, 4, False, 200, None
5R2/3Pr3/5N2/8/1KR5/8/2pr4/7k b - - 0 1, True, 8/3P4/5N2/2Kr4/8/7R/1q3k2/8, 17, False, 200, None
2R4r/K7/8/1k2r3/8/5B2/1b4n1/Q7 w - - 1 1, True, 7r/K7/Q7/4r3/2R5/1k6/1b4n1/3B4, 5, True, 200, None
5r2/2nR4/r4k2/8/7P/8/4KN2/4r3 w - - 0 1, True, 5r2/3R4/r6k/8/5n2/4N3/8/4K3, 10, False, 200, None
5K2/1q6/N7/8/6b1/1b4P1/1N6/2k3r1 w - - 1 1, True, 4K3/2q5/2b5/8/6b1/6P1/3k4/5r2, 10, True, 200, None
B7/8/r7/8/2p5/2k5/4K1R1/4bB1B w - - 1 1, True, 8/7B/4R3/2k5/5r2/2K2B2/4B3/8, 35, False, 200, None
1R3k2/8/8/8/2Pr3N/K2n4/8/Qr6 b - - 0 1, True, 1r3k2/8/8/8/2PQ3N/K2n4/8/8, 2, False, 200, None
b6n/2n5/8/K3N3/8/3p1kQ1/7B/8 b - - 1 1, True, b6n/2n5/8/K7/6N1/8/5Q1B/5k2, 8, True, 200, None
5nn1/R7/8/B2k4/B4b1B/K7/8/8 w - - 1 1, True, 6n1/5R2/7B/4k3/K7/8/2B2B2/8, 15, False, 200, None
2n5/5Bkp/3q4/4B3/6K1/1n6/8/1R6 b - - 1 1, True, 2n5/5Bkp/8/4q3/6K1/1R6/8/8, 2, False, 200, None
